From	Entry	Gene.Names..primary.	ENTREZID
A0A024R1R8	A0A024R1R8	TMA7B	112268293
A0A0A0MRZ8	A0A0A0MRZ8	IGKV3D-11	28876
A0A0B4J2D5	A0A0B4J2D5	NA	NA
A0A0U1RRL7	A0A0U1RRL7	MMP24OS	101410538
A0A2R8Y4L2	A0A2R8Y4L2	HNRNPA1L3	642659
A0AV96	A0AV96	RBM47	54502
A0AVI4	A0AVI4	TMEM129	92305
A0AVT1	A0AVT1	UBA6	55236
A0FGR8	A0FGR8	ESYT2	57488
A0MZ66	A0MZ66	SHTN1	57698
A1IGU5	A1IGU5	ARHGEF37	389337
A1L0T0	A1L0T0	ILVBL	10994
A1L390	A1L390	PLEKHG3	26030
A1X283	A1X283	SH3PXD2B	285590
A2A3N6	A2A3N6	PIPSL	266971
A2NJV5	A2NJV5	IGKV2-29	28920
A2RRP1	A2RRP1	NBAS	51594
A2RTX5	A2RTX5	TARS3	123283
A2RU67	A2RU67	FAM234B	57613
A3KMH1	A3KMH1	VWA8	23078
A3KN83	A3KN83	SBNO1	55206
A4D1B5	A4D1B5	GSAP	54103
A4D1P6	A4D1P6	WDR91	29062
A4D1U4	A4D1U4	DENND11	57189
A5D8V6	A5D8V6	VPS37C	55048
A5PLN9	A5PLN9	TRAPPC13	80006
A5YKK6	A5YKK6	CNOT1	23019
A6H8Y1	A6H8Y1	BDP1	55814
A6NCE7	A6NCE7	MAP1LC3B2	643246
A6NDB9	A6NDB9	PALM3	342979
A6NFI3	A6NFI3	ZNF316	100131017
A6NFQ2	A6NFQ2	TCAF2	285966
A6NHQ2	A6NHQ2	FBLL1	345630
A6NHR9	A6NHR9	SMCHD1	23347
A6NHT5	A6NHT5	HMX3	340784
A6NHX0	A6NHX0	CASTOR2	729438
A6NI56	A6NI56	CCDC154	645811
A6NIH7	A6NIH7	UNC119B	84747
A6NJ78	A6NJ78	METTL15	196074
A6NKW6	A6NKW6	SHISAL2B	100132916
A6NMZ7	A6NMZ7	COL6A6	131873
A6QL63	A6QL63	ABTB3	121551
A7E2V4	A7E2V4	ZSWIM8	23053
A7MBM2	A7MBM2	DISP2	85455
A7XYQ1	A7XYQ1	SOBP	55084
